modismo,amazon_nova_micro_v1,cohere_command_r_08_2024
abajeño,"{""prompt_id"":""P1"",""input"":""abajeño"",""output"":{""definicion"":""Persona originaria de la región de Bajo Cauca, Antioquia.""}}","{""prompt_id"":""P1"",""input"":""abajeño"",""output"":{""definicion"":""Persona o origen de la parte sur del país.""}}"
abalear,"{""prompt_id"":""P1"",""input"":""abalear"",""output"":{""definicion"":""Insistir en algo de manera insistente y a veces molesta.""}}","{""prompt_id"":""P1"",""input"":""abalear"",""output"":{""definicion"":""Casualmente, pegar o decir algo algo que asusta o sorprende.""}}"
abaleo,"{""prompt_id"":""P1"",""input"":""abaleo"",""output"":{""definicion"":""Acción de moverse o balancearse de forma exagerada.""}}","{""prompt_id"":""P1"",""input"":""abaleo"",""output"":{""definicion"":""Acción de apunar o herir con una bala.""}}"
abanicar,"{""prompt_id"":""P1"",""input"":""abanicar"",""output"":{""definicion"":""Influir o convencer a alguien para que tome una determinada acción.""}}","{""prompt_id"":""P1"",""input"":""abanicar"",""output"":{""definicion"":""Mover un objeto, como un abanico, para generar efecto.""}}"
abanico,"{""prompt_id"":""P1"",""input"":""abanico"",""output"":{""definicion"":""Modismo que indica una situación muy complicada o difícil de resolver.""}}","{""prompt_id"":""P1"",""input"":""abanico"",""output"":{""definicion"":""Instrumento plano y móvil que se mueve para refrescar.""}}"
abarco,"{""prompt_id"":""P1"",""input"":""abarco"",""output"":{""definicion"":""Incluir o abarcar una situación completa o todos los aspectos.""}}","{""prompt_id"":""P1"",""input"":""abarco"",""output"":{""definicion"":""Abordar o abarcar un tema o idea amplia.""}}"
abarrotes,"{""prompt_id"":""P1"",""input"":""abarrotes"",""output"":{""definicion"":""Tiendas pequeñas que venden alimentos y artículos de primera necesidad.""}}","{""prompt_id"":""P1"",""input"":""abarrotes"",""output"":{""definicion"":""Productos vendibles en tiendas de comestibles.""}}"
abeja,"{""prompt_id"":""P1"",""input"":""abeja"",""output"":{""definicion"":""Persona que trabaja incansablemente, como una abeja.""}}","{""prompt_id"":""P1"",""input"":""abeja"",""output"":{""definicion"":""Insecto volador de color amarillo y negro con aguijón venenoso.""}}"
abejorrear,"{""prompt_id"":""P1"",""input"":""abejorrear"",""output"":{""definicion"":""Comportarse en forma molesta o fastidiosa, como una abeja.""}}","{""prompt_id"":""P1"",""input"":""abejorrear"",""output"":{""definicion"":""Acoso, seguimiento insistente a una persona con propuestas.""}}"
abismante,"{""prompt_id"":""P1"",""input"":""abismante"",""output"":{""definicion"":""Sorprende o deja boquiabierto por su magnitud o extrañeza.""}}","{""prompt_id"":""P1"",""input"":""abismante"",""output"":{""definicion"":""Impresionante, sorprendente, de impacto.""}}"
abombado,"{""prompt_id"":""P1"",""input"":""abombado"",""output"":{""definicion"":""Tener algo excesivamente grande o prominente, usualmente en referencia a la ropa.""}}","{""prompt_id"":""P1"",""input"":""abombado"",""output"":{""definicion"":""Personas o cosas infladas o abultadas.""}}"
