modismo,amazon_nova-micro-v1
abajeño,"{""prompt_id"": ""P4"", ""input"": ""abajeño"", ""output"": {""reemplazo"": ""de la región del Bajo Cauca""}}"
abalear,"{""prompt_id"": ""P4"", ""input"": ""abalear"", ""output"": {""reemplazo"": ""atrapar""}}"
abaleo,"{""prompt_id"": ""P4"", ""input"": ""abaleo"", ""output"": {""reemplazo"": ""no tengo idea""}}"
abanicar,"{""prompt_id"": ""P4"", ""input"": ""abanicar"", ""output"": {""reemplazo"": ""buscar activamente""}}"
abanico,"{""prompt_id"": ""P4"", ""input"": ""abanico"", ""output"": {""reemplazo"": ""varita mágica""}}"
abarco,"{""prompt_id"": ""P4"", ""input"": ""abarco"", ""output"": {""reemplazo"": ""cubrí""}}"
abarrotes,"{""prompt_id"": ""P4"", ""input"": ""abarrotes"", ""output"": {""reemplazo"": ""muchas cosas""}}"
abeja,"{""prompt_id"": ""P4"", ""input"": ""abeja"", ""output"": {""reemplazo"": ""insecto que produce miel""}}"
abejorrear,"{""prompt_id"": ""P4"", ""input"": ""abejorrear"", ""output"": {""reemplazo"": ""pasar el tiempo sin hacer nada en particular""}}"
abismante,"{""prompt_id"": ""P4"", ""input"": ""abismante"", ""output"": {""reemplazo"": ""muy sorprendente""}}"
abombado,"{""prompt_id"": ""P4"", ""input"": ""abombado"", ""output"": {""reemplazo"": ""hinchado""}}"
aborrajado,"{""prompt_id"": ""P4"", ""input"": ""aborrajado"", ""output"": {""reemplazo"": ""desanimado""}}"
abotar,"{""prompt_id"": ""P4"", ""input"": ""abotar"", ""output"": {""reemplazo"": ""terminar""}}"
abozao,"{""prompt_id"": ""P4"", ""input"": ""abozao"", ""output"": {""reemplazo"": ""muy experimentado""}}"
abrebocas,"{""prompt_id"": ""P4"", ""input"": ""abrebocas"", ""output"": {""reemplazo"": ""comienzo del apetito""}}"
abrigar,"{""prompt_id"": ""P4"", ""input"": ""abrigar"", ""output"": {""reemplazo"": ""proteger""}}"
abrirse,"{""prompt_id"": ""P4"", ""input"": ""abrirse"", ""output"": {""reemplazo"": ""desarrollarse""}}"
abrochar,"{""prompt_id"": ""P4"", ""input"": ""abrochar"", ""output"": {""reemplazo"": ""cerrar o fijar""}}"
abuelita,"{""prompt_id"": ""P4"", ""input"": ""abuelita"", ""output"": {""reemplazo"": ""persona mayor cariñosa""}}"
abullonado,"{""prompt_id"": ""P4"", ""input"": ""abullonado"", ""output"": {""reemplazo"": ""complicado""}}"
aburria,"{""prompt_id"": ""P4"", ""input"": ""aburria"", ""output"": {""reemplazo"": ""cansancio""}}"
aburrición,"{""prompt_id"": ""P4"", ""input"": ""aburrición"", ""output"": {""reemplazo"": ""monotonía""}}"
acabado,"{""prompt_id"": ""P4"", ""input"": ""acabado"", ""output"": {""reemplazo"": ""terminado""}}"
acabarropa,"{""prompt_id"": ""P4"", ""input"": ""acabarropa"", ""output"": {""reemplazo"": ""llegar al final de la conversación""}}"
acabose,"{""prompt_id"": ""P4"", ""input"": ""acabose"", ""output"": {""reemplazo"": ""ya no sirve""}}"
acartonado,"{""prompt_id"": ""P4"", ""input"": ""acartonado"", ""output"": {""reemplazo"": ""frío y sin vida""}}"
acatar,"{""prompt_id"": ""P4"", ""input"": ""acatar"", ""output"": {""reemplazo"": ""cumplir""}}"
accesar,"{""prompt_id"": ""P4"", ""input"": ""accesar"", ""output"": {""reemplazo"": ""entrar""}}"
aceite,"{""prompt_id"": ""P4"", ""input"": ""aceite"", ""output"": {""reemplazo"": ""grasa""}}"
acelerado,"{""prompt_id"": ""P4"", ""input"": ""acelerado"", ""output"": {""reemplazo"": ""muy rápido""}}"
acelere,"{""prompt_id"": ""P4"", ""input"": ""acelere"", ""output"": {""reemplazo"": ""aumente la velocidad""}}"
acema,"{""prompt_id"": ""P4"", ""input"": ""acema"", ""output"": {""reemplazo"": ""no ha hecho nada""}}"
acerola,"{""prompt_id"": ""P4"", ""input"": ""acerola"", ""output"": {""reemplazo"": ""mucha valentía""}}"
achacado,"{""prompt_id"": ""P4"", ""input"": ""achacado"", ""output"": {""reemplazo"": ""enfermo o con problemas de salud""}}"
achajuanado,"{""prompt_id"": ""P4"", ""input"": ""achajuanado"", ""output"": {""reemplazo"": ""muy cansado""}}"
achantada,"{""prompt_id"": ""P4"", ""input"": ""achantada"", ""output"": {""reemplazo"": ""en problemas""}}"
