modismo,amazon_nova-micro-v1
abajeño,"{""prompt_id"": ""P3"", ""input"": ""Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago."", ""output"": {""definicion"": ""Iniciaron la producción de tabaco y la elaboración de un aguardiente ilegal, además de cultivar cacao para vender a la gente de Cartago."", ""es_modismo"": ""No""}}"
abalear,"{""prompt_id"": ""P3"", ""input"": ""El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado."", ""output"": {""definicion"": ""Salir sin sufrir daño alguno."", ""es_modismo"": ""No""}}"
abaleo,"{""prompt_id"": ""P3"", ""input"": ""Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía."", ""output"": {""definicion"": ""Se escuchaba un gran ruido y agitación en la calle doce, seguido por la llegada de la policía."", ""es_modismo"": ""No""}}"
abanicar,"{""prompt_id"": ""P3"", ""input"": ""El bateador se ponchó abanicando el tercer lanzamiento."", ""output"": {""definicion"": ""En béisbol, cuando el bateador golpea el balón con el bate y es eliminado."", ""es_modismo"": ""No""}}"
abanico,"{""prompt_id"": ""P3"", ""input"": ""No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante."", ""output"": {""definicion"": ""Expresión que describe la dificultad para dormir debido a un calor extremo, utilizando un abanico como símbolo del alivio."", ""es_modismo"": ""No""}}"
abarco,"{""prompt_id"": ""P3"", ""input"": ""Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales."", ""output"": {""definicion"": ""Cantidad de madera de abarco disponible para su uso o comercialización."", ""es_modismo"": ""No""}}"
abarrotes,"{""prompt_id"": ""P3"", ""input"": ""El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos."", ""output"": {""definicion"": ""Un mercado o centro comercial que ofrece espacios comerciales para la venta de diversos productos."", ""es_modismo"": ""No""}}"
abeja,"{""prompt_id"": ""P3"", ""input"": ""Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas."", ""output"": {""definicion"": ""Llegaste sin dificultades al lugar porque tienes un hábito de tener un plan detallado."", ""es_modismo"": ""No""}}"
abejorrear,"{""prompt_id"": ""P3"", ""input"": ""Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen."", ""output"": {""definicion"": ""Personas que molestan o acosan a otra en los buses."", ""es_modismo"": ""No""}}"
abismante,"{""prompt_id"": ""P3"", ""input"": ""Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país."", ""output"": {""definicion"": ""Frase que se usa para introducir una reflexión o justificación, indicando que se considera el contexto completo."", ""es_modismo"": ""Sí""}}"
abombado,"{""prompt_id"": ""P3"", ""input"": ""Juan no se comió la carne porque estaba abombada."", ""output"": {""definicion"": ""La carne estaba en mal estado, posiblemente enlatada y con una hinchazón anormal."", ""es_modismo"": ""No""}}"
aborrajado,"{""prompt_id"": ""P3"", ""input"": ""El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'."", ""output"": {""definicion"": ""Una preparación típica de la cocina vallecaucana, hecha con plátano en forma de hamburguesa rellena de queso y frito."", ""es_modismo"": ""No""}}"
abotar,"{""prompt_id"": ""P3"", ""input"": ""Niña, abótese que la puede atropellar el carro."", ""output"": {""definicion"": ""Advertencia informal para que un niño se mueva rápidamente para evitar un peligro."", ""es_modismo"": ""Sí""}}"
abozao,"{""prompt_id"": ""P3"", ""input"": ""El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano."", ""output"": {""definicion"": ""Un ritmo musical típico del Pacífico colombiano, utilizado en la danza folclórica."", ""es_modismo"": ""No""}}"
abrebocas,"{""prompt_id"": ""P3"", ""input"": ""Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños."", ""output"": {""definicion"": ""Una presentación previa de cinco cortometrajes que combinan cine, arte y mensajes de paz antes de un festival de cine llamado Caleidoscopio de sueños."", ""es_modismo"": ""No""}}"
abrigar,"{""prompt_id"": ""P3"", ""input"": ""Le voy a abrigar la arepita para que le sepa más rico."", ""output"": {""definicion"": ""Cubrir o envolver una arepa para que se mantenga caliente y se disfrute mejor."", ""es_modismo"": ""No""}}"
